feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.693879894665207	0.198016769014334	255	79	0.000583589321892445	0.0554409855797823
Staphylococcus	age_days_numeric	age_days_numeric	-0.54496903192257	0.177074764367665	255	82	0.00242942706616286	0.0632057017960775
Streptobacillus	age_days_numeric	age_days_numeric	-0.56931575236941	0.174734278424246	255	54	0.00135217080052848	0.0632057017960775
Moraxella	age_days_numeric	age_days_numeric	0.459420682463957	0.15070467951011	255	251	0.00266129270720326	0.0632057017960775
Haemophilus	collection_season2	spring	2.2821006793415	0.810942198448633	255	205	0.00530037259976688	0.100707079395571
ASV_63	age_days_numeric	age_days_numeric	-0.218032036957774	0.0892287509967488	255	26	0.0155552833084171	0.167720416538074
Campylobacter	collection_season2	winter	-0.97949021361338	0.404964296733904	255	36	0.0166770616760364	0.167720416538074
Streptococcus	pets	yes	1.5275853368404	0.599288216739819	255	224	0.0126975670538761	0.167720416538074
Streptobacillus	collection_season2	winter	-1.30166367525066	0.543188146831659	255	54	0.0176547806882183	0.167720416538074
Neisseria	collection_season2	autumn	-1.5863050486531	0.656713701857587	255	79	0.0164590507821699	0.167720416538074
Gemella	age_days_numeric	age_days_numeric	-0.306979595449193	0.130474834654718	255	54	0.0197521090039591	0.170586395943283
Corynebacterium	collection_season2	winter	1.3956225657095	0.618959197220098	255	230	0.0253178851931295	0.200433257778942
Alloprevotella	age_days_numeric	age_days_numeric	-0.386220213627834	0.184944044357676	255	60	0.0382324119619051	0.262966341418349
ASV_35	collection_season2	winter	-0.966428034990934	0.47031935719227	255	56	0.0415210012765815	0.262966341418349
ASV_22	age_days_numeric	age_days_numeric	-0.352564896447395	0.171240184785132	255	128	0.0410194160657114	0.262966341418349
Gemella	collection_season2	winter	-0.803382075051033	0.404497952702791	255	54	0.0486232830343683	0.288700743016562
Streptococcus	age_days_numeric	age_days_numeric	-0.365175749237007	0.188495146191794	255	224	0.0543475649980871	0.303706980871663
Porphyromonas	collection_season2	winter	-1.01966860202075	0.578637539907509	255	76	0.0797454539328434	0.341914252962057
Alloprevotella	pets	yes	0.942934338036441	0.531967729716893	255	60	0.0800355569247859	0.341914252962057
ASV_35	age_days_numeric	age_days_numeric	-0.288740623447246	0.158610714081795	255	56	0.0704155340045333	0.341914252962057
