feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptobacillus	collection_season2	winter	-1.37925315343116	0.279720243829161	462	59	1.15125801401146e-06	4.89284655954869e-05
Neisseria	collection_season2	winter	-1.99644605992799	0.398356186129545	462	133	7.77237110331552e-07	4.89284655954869e-05
Helcococcus	age_days_numeric	age_days_numeric	0.259397853971935	0.058059449619695	462	66	1.04262330136305e-05	0.000295409935386196
Porphyromonas	collection_season2	winter	-1.25637130043615	0.302125635326305	462	95	3.82981809799703e-05	0.000813836345824369
ASV_22	age_days_numeric	age_days_numeric	-0.45224831498781	0.110896301543438	462	177	5.52755953242791e-05	0.000939685120512745
Alloprevotella	collection_season2	winter	-1.13792707527291	0.297155321937092	462	82	0.000146515261893437	0.00207563287682369
Gemella	collection_season2	winter	-0.884339091496728	0.23732393412363	462	70	0.000220899900461488	0.00268235593417521
Streptococcus	collection_season2	winter	-1.48397677739722	0.415358602501979	462	399	0.000390855945518899	0.0041528444211383
ASV_35	collection_season2	winter	-0.799874408482824	0.227979827564892	462	57	0.000495384112582119	0.00467862772994224
Neisseria	collection_season2	spring	-1.38932536060349	0.405509432694754	462	133	0.000667691025154823	0.005675373713816
Fusobacterium	collection_season2	winter	-1.11030522174414	0.331808844312832	462	78	0.000887654069638568	0.00685914508357076
Corynebacterium	collection_season2	winter	1.40674234788346	0.438729144962831	462	392	0.00144022143106678	0.00954719101228885
Neisseria	collection_season2	autumn	-1.45305525090328	0.453764700383037	462	133	0.00146015862540888	0.00954719101228885
Corynebacterium	collection_season2	autumn	1.52719779653691	0.489101164829892	462	392	0.00191480319837085	0.0116255908472516
Streptobacillus	collection_season2	spring	-0.872227373966039	0.284163019376573	462	59	0.00227256392906034	0.0128778622646753
Prevotella	age_days_numeric	age_days_numeric	-0.220348698902411	0.0747575550426635	462	59	0.00339956392776906	0.0177473906376322
Fusobacterium	collection_season2	autumn	-1.08718776406572	0.370835069623492	462	78	0.00354947812752644	0.0177473906376322
Corynebacterium	age_days_numeric	age_days_numeric	-0.430524127598436	0.148782015800626	462	392	0.00402595254509046	0.0190114425740383
ASV_35	age_days_numeric	age_days_numeric	-0.223732868398123	0.0802604166297387	462	57	0.00557434629259467	0.0249378649931867
ASV_35	collection_season2	spring	-0.623984529321869	0.231149408919945	462	57	0.00720387531503645	0.0306164700889049
Porphyromonas	collection_season2	spring	-0.798960839294138	0.306140881454281	462	95	0.0093596648638571	0.034590065801211
Porphyromonas	siblings2	yes	0.824921089140805	0.308268898803835	462	95	0.00910538671203122	0.034590065801211
ASV_35	collection_season2	autumn	-0.677713218094714	0.257894907482815	462	57	0.0088881863078861	0.034590065801211
Corynebacterium	siblings2	yes	1.29657466043288	0.550864129211882	462	392	0.0211715315318895	0.0749825075087753
Alloprevotella	collection_season2	spring	-0.690285443157984	0.301709715288787	462	82	0.0226004312039575	0.0768414660934554
Moraxella	siblings2	yes	-0.595312285788697	0.260748874059608	462	459	0.0252188401685756	0.0824462082434203
Streptococcus	collection_season2	spring	-0.925539032795648	0.419870681326104	462	399	0.028005276293619	0.0869850440546164
Streptobacillus	age_days_numeric	age_days_numeric	-0.218152199684539	0.0993176970268173	462	59	0.0286538968650501	0.0869850440546164
Gemella	collection_season2	spring	-0.519891214242279	0.243981959506001	462	70	0.0336426693047205	0.0986078238241808
Fusobacterium	collection_season2	spring	-0.704822269309368	0.334093218388488	462	78	0.0354489168597483	0.100438597769287
Streptobacillus	collection_season2	autumn	-0.660754314657033	0.31750006067361	462	59	0.0379895146376609	0.104164798200038
Gemella	collection_season2	autumn	-0.560570397699074	0.274997627770647	462	70	0.0420808158848777	0.111777167194206
ASV_22	collection_season2	autumn	-0.744521220521641	0.370361346118014	462	177	0.0450551766620713	0.114064351020913
Haemophilus	collection_season2	spring	1.10993412913712	0.553694271122207	462	383	0.0456257404083652	0.114064351020913
Haemophilus	age_days_numeric	age_days_numeric	0.347720000533145	0.185910704213823	462	383	0.0621977499621211	0.151051678479437
Helcococcus	collection_season2	winter	0.32601727244753	0.176892819335732	462	66	0.0660314240784905	0.155907529074214
Helcococcus	collection_season2	spring	0.315972075950046	0.176600207630512	462	66	0.0743178393718226	0.170730171529863
Corynebacterium	collection_season2	spring	0.765191226533433	0.441113642136149	462	392	0.0834999904143851	0.181987158595455
