feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.76118986991467	0.247140414949711	210	143	4.68383993419117e-11	2.8103039605147e-09
Moraxella	age_days_numeric	age_days_numeric	1.68208607727936	0.233090737320272	210	180	3.00096980303781e-11	2.8103039605147e-09
ASV_22	age_days_numeric	age_days_numeric	0.983108576774827	0.163115977808008	210	42	1.33896030207773e-08	5.35584120831091e-07
Haemophilus	age_days_numeric	age_days_numeric	1.2909048393129	0.287398633099693	210	144	1.4572611161999e-05	0.00043717833485997
Corynebacterium	age_days_numeric	age_days_numeric	-0.949294707566635	0.236115640681878	210	185	9.40484140151322e-05	0.00225716193636317
Fusobacterium	age_days_numeric	age_days_numeric	0.742671000217804	0.189859967384804	210	54	0.000140978712161094	0.00281957424322188
Staphylococcus	collection_season2	spring	-2.99461229968537	0.787558704716205	210	143	0.000199736438413603	0.00342405322994749
Dolosigranulum	age_days_numeric	age_days_numeric	0.848129483583676	0.244358145621735	210	133	0.000687772925328997	0.010316593879935
Staphylococcus	collection_season2	winter	-2.61318931753984	0.890038822338566	210	143	0.00383200310637367	0.0510933747516489
ASV_35	age_days_numeric	age_days_numeric	0.442095328296331	0.154248695138772	210	34	0.00477860420640867	0.057343250476904
Prevotella	age_days_numeric	age_days_numeric	0.378243141260448	0.148803340341803	210	49	0.0120936283759648	0.131930491374162
Veillonella	age_days_numeric	age_days_numeric	-0.370454566347831	0.14888133931794	210	61	0.0139762966964853	0.139762966964853
Klebsiella	age_days_numeric	age_days_numeric	-0.359486443283627	0.158414496165214	210	29	0.02430264492683	0.224332107016893
ASV_63	collection_season2	autumn	-0.869924864614053	0.396308856392951	210	29	0.0292925921868902	0.251079361601916
Gemella	collection_season2	winter	1.30579336764105	0.60615288142757	210	89	0.0326191003769916	0.260952803015933
Klebsiella	collection_season2	spring	-0.828554270258582	0.396630779790791	210	29	0.0379558955683996	0.284669216762997
Fusobacterium	collection_season2	autumn	-1.24712996379828	0.62196677274056	210	54	0.0462763338422659	0.3266564741807
Gemella	age_days_numeric	age_days_numeric	-0.285892030343404	0.155135565768599	210	89	0.0674925724823578	0.449950483215719
ASV_35	collection_season2	winter	0.931837376023754	0.531157219613497	210	34	0.0814707320055771	0.514551991614171
Campylobacter	collection_season2	autumn	-0.804544665622066	0.468904982624847	210	33	0.0877334050977532	0.526400430586519
Haemophilus	collection_season2	winter	1.72568071386412	1.09245738674783	210	144	0.116090857100632	0.663376326289327
