feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Corynebacterium	collection_season2	winter	1.43806676136129	0.29921434393769	462	383	2.10237766160133e-06	8.93510506180564e-05
Helcococcus	age_days_numeric	age_days_numeric	0.250769705940105	0.0515403953203096	462	60	1.65997508119088e-06	8.93510506180564e-05
Neisseria	collection_season2	winter	-0.984036617983369	0.238017926445456	462	115	4.24840651804455e-05	0.00120371518011262
Corynebacterium	collection_season2	autumn	1.26261671728016	0.334166887357121	462	383	0.000180123660204713	0.00306210222348012
Streptobacillus	collection_season2	winter	-0.614053797423717	0.161011809500649	462	44	0.000156075120319906	0.00306210222348012
Helcococcus	collection_season2	winter	0.563712150039038	0.154456710137553	462	60	0.0002956118672852	0.00418783478654033
Porphyromonas	collection_season2	winter	-0.617684687270935	0.198679884081322	462	79	0.00199523448577757	0.0242278473272991
Helcococcus	collection_season2	spring	0.46603902834776	0.154084368160023	462	60	0.00264456897550492	0.0249764847686576
ASV_22	age_days_numeric	age_days_numeric	-0.23702196003931	0.0777967965782131	462	154	0.0024714610482807	0.0249764847686576
Neisseria	collection_season2	autumn	-0.811587310394603	0.271511654859219	462	115	0.00295056874473833	0.0250798343302758
Corynebacterium	collection_season2	spring	0.85075169492854	0.300158118214955	462	383	0.00480280438858888	0.0364010775015986
Neisseria	collection_season2	spring	-0.678148275863931	0.241179531529175	462	115	0.00513897564728451	0.0364010775015986
ASV_35	age_days_numeric	age_days_numeric	-0.147263063896392	0.0543889639934666	462	41	0.00707582382552971	0.0429603589407161
Haemophilus	collection_season2	spring	1.06306418183917	0.389522125861073	462	381	0.00660641129595933	0.0429603589407161
Alloprevotella	collection_season2	winter	-0.379870773841748	0.155471973215857	462	45	0.0149476783813037	0.0842670343231083
Streptococcus	collection_season2	winter	-0.71056945338051	0.293486949093954	462	394	0.0158620299902322	0.0842670343231083
Fusobacterium	collection_season2	autumn	-0.56308081729316	0.238932754989522	462	62	0.0188788068929077	0.0943940344645387
Alloprevotella	age_days_numeric	age_days_numeric	0.127717861711407	0.0572819260915126	462	45	0.0263392186952701	0.099563438490887
Prevotella	age_days_numeric	age_days_numeric	-0.117639814778066	0.0527357904269421	462	30	0.0262651065132608	0.099563438490887
ASV_35	collection_season2	winter	-0.328347523564909	0.152310067555246	462	41	0.0316260334029876	0.099563438490887
Fusobacterium	collection_season2	winter	-0.470185999280769	0.212336294944084	462	62	0.0272994259452041	0.099563438490887
Streptobacillus	age_days_numeric	age_days_numeric	-0.126691167303777	0.0582203902172418	462	44	0.0301505431345506	0.099563438490887
Streptobacillus	collection_season2	spring	-0.364740732270491	0.163259325208929	462	44	0.0259594024324217	0.099563438490887
Streptobacillus	daycare_prior_sampling	yes	0.483561822652946	0.22223495152144	462	44	0.0314484940935383	0.099563438490887
Haemophilus	age_days_numeric	age_days_numeric	0.291028694406027	0.132481257550199	462	381	0.0286241464333904	0.099563438490887
Acinetobacter	collection_season2	winter	0.335812324785615	0.152222794184422	462	41	0.0278787844913182	0.099563438490887
